id,owner_id,locality,city,sqftsuper,type,totalrooms,rent,status,latitude,longitude,gender,tag_as
1,442,Ulsoor,bengaluru,1800,flat,3,31800,blocked,12.976728,77.625949,1,managed
2,120,Whitefield,bengaluru,450,flat,0,12000,blocked,12.963743,77.732867,0,managed
3,348,Koramangala,bengaluru,510,flat,2,42469,available,12.928373,77.631766,1,managed
4,120,Whitefield,bengaluru,1450,flat,3,12000,blocked,12.963745,77.732865,0,managed
5,352,Bellandur,bengaluru,510,flat,3,40793,available,12.916868,77.690241,1,managed
6,805,Bellandur,bengaluru,2400,flat,4,51000,occupied,12.918846,77.689174,1,managed
7,798,Devanahalli,bengaluru,3755,flat,4,30900,occupied,13.204987,77.639311,1,managed
8,7,HSR Layout,bengaluru,1305,flat,3,26000,occupied,12.9152649,77.6591148,1,managed
9,797,Sarjapur Main Road,bengaluru,336,flat,2,23590,blocked,12.918184,77.669517,1,managed
10,292,Mahadevapura,bengaluru,1565,flat,3,34729,occupied,12.978776,77.696805,1,managed
11,773,Whitefield,bengaluru,2400,flat,4,40600,blocked,13.020816,77.761856,1,managed
13,773,Whitefield,bengaluru,2400,flat,4,40600,blocked,13.020816,77.761856,2,managed
17,120,Horamavu,bengaluru,1000,flat,2,40000,blocked,13.020175,77.66657,1,managed
18,351,Whitefield,bengaluru,2400,flat,4,24000,blocked,13.020816,77.761856,0,marketplace
20,1058,Electronic City,bengaluru,2050,villa,3,20000,blocked,12.830007,77.708026,0,marketplace
21,120,"Ashok Nagar, Kandivali East",pune,1100,flat,2,49800,blocked,19.198124,72.854266,0,managed
22,120,Electronic City,bengaluru,1609,flat,3,0,blocked,,,0,managed
23,804,Sarjapur Main Road,bengaluru,1920,flat,3,69700,blocked,12.918245,77.66948,1,marketplace
25,800,Manyata Tech Park,bengaluru,2050,flat,3,23031,occupied,13.066772,77.625197,1,managed
26,772,Mahadevapura,bengaluru,1570,flat,3,32414,available,12.978776,77.696805,1,managed
27,120,Wagholi,pune,865,flat,2,11000,blocked,18.585016,73.96996,0,managed
28,349,Sarjapur Main Road,bengaluru,1925,flat,3,43000,partial,12.910867,77.682427,1,managed
29,347,Dundahera,noida_ghaziabad,1029,flat,3,12580,partial,28.628851,77.436819,1,managed
30,2125,Thyvakanahally,bengaluru,4500,villa,5,35000,blocked,12.834246,77.782726,2,marketplace
31,120,Horamavu,bengaluru,1200,flat,2,25000,blocked,13.019774,77.666491,1,managed
32,120,Wakad,pune,1346,flat,2,21500,blocked,18.590896,73.760496,0,managed
33,878,Electronic City,bengaluru,1230,flat,3,29700,blocked,12.78411,77.657984,2,marketplace
34,878,Electronic City,bengaluru,1230,flat,3,29700,blocked,12.78411,77.657984,0,marketplace
35,803,Electronic City,bengaluru,925,flat,2,29700,available,12.78411,77.657984,1,marketplace
36,802,Sarjapur,bengaluru,3083,house,3,39139,occupied,12.9097252,77.6728556,1,managed
37,802,Sarjapur,bengaluru,3359,house,4,51818,occupied,12.90573,77.700959,1,managed
38,801,Manyata Tech Park,bengaluru,1752,flat,3,26460,partial,13.066772,77.625197,2,managed
39,120,Bommanahalli,bengaluru,1564,flat,2,36000,blocked,12.905403,77.627974,0,managed
40,806,Wagholi,pune,917,flat,2,13500,available,18.571841,73.976455,0,marketplace
41,771,Sarjapur Main Road,bengaluru,1447,flat,3,22050,partial,12.898186,77.702837,1,managed
42,133,Koramangala,bengaluru,2000,flat,3,40000,blocked,12.936612,77.629511,1,managed
43,120,Haralur Road,bengaluru,3000,villa,3,60000,blocked,12.904061,77.67189,1,managed
44,120,Bannerghatta Main Rd,bengaluru,2078,flat,3,40700,blocked,12.875207,77.60985,1,managed
45,15,0,bengaluru,850,flat,2,0,blocked,0,0,0,managed
46,434,Marathalli,bengaluru,1740,flat,3,38587,available,12.953672,77.699952,1,managed
47,438,Whitefield,bengaluru,1200,flat,2,25000,blocked,13.008087,77.756746,1,marketplace
49,120,Whitefield,bengaluru,2400,flat,1,9900,blocked,13.020816,77.761856,1,managed
50,0,,bengaluru,1228,flat,2,0,blocked,12.976922,77.678329,0,managed
51,467,New Thippasandra,bengaluru,600,house,1,18000,blocked,12.972803,77.655353,0,managed
52,478,Magarpatta City,pune,1040,flat,2,30000,blocked,18.510025,73.929418,2,managed
53,0,,pune,1273,flat,2,0,blocked,,,0,managed
54,528,Whitefield,bengaluru,1530,flat,3,45000,blocked,12.982625,77.746682,1,marketplace
55,301,Bellandur,bengaluru,1678,flat,3,35000,occupied,12.917103,77.68997,1,marketplace
56,557,Kadubeesanahalli,bengaluru,0,flat,4,68000,available,12.937827,77.699428,1,marketplace
57,587,Chokkanahalli,bengaluru,1241,flat,3,30000,blocked,13.081106,77.625247,0,marketplace
58,632,Whitefield,bengaluru,1852,flat,3,40000,available,12.982727,77.755101,1,marketplace
61,478,Magarpatta City,pune,1280,flat,2,34000,blocked,18.511552,73.922345,2,managed
62,776,Kadubeesanhalli,bengaluru,3435,flat,4,57000,partial,12.937191,77.699105,1,managed
63,759,NGEF Layout,bengaluru,1350,house,3,35000,blocked,12.996604,77.656282,2,marketplace
64,774,Sultan Palya,bengaluru,3000,flat,4,60000,blocked,13.027386,77.6051685,0,marketplace
65,819,Bannerghata Road,bengaluru,2000,flat,3,36000,blocked,12.874537,77.609565,0,managed
66,827,Electronics City Phase 1,bengaluru,1800,flat,3,54000,blocked,12.838127,77.673622,0,marketplace
67,827,Electronics City Phase 1,bengaluru,1800,flat,3,54000,blocked,12.838127,77.673622,0,marketplace
68,827,"Electronics City Phase 1,",bengaluru,1800,flat,3,54000,blocked,12.838127,77.673622,0,marketplace
69,827,"Electronics City Phase 1,",bengaluru,1800,flat,3,54000,blocked,12.838127,77.673622,0,marketplace
70,827,"Electronics City Phase 1,",bengaluru,1800,flat,3,54000,blocked,12.838127,77.673622,0,marketplace
71,827,"Electronics City Phase 1,",bengaluru,1800,flat,3,54000,blocked,12.838127,77.673622,0,marketplace
72,827,"Electronics City Phase 1,",bengaluru,1800,flat,3,54000,blocked,12.838127,77.673622,0,marketplace
73,827,"Electronics City Phase 1,",bengaluru,1800,flat,3,54000,blocked,12.838127,77.673622,0,marketplace
74,827,"Electronics City Phase 1,",bengaluru,1800,flat,3,54000,blocked,12.838127,77.673622,0,marketplace
75,827,"Electronics City Phase 1,",bengaluru,1800,flat,3,54000,blocked,12.838127,77.673622,0,marketplace
76,828,Bellandur,bengaluru,1650,flat,3,35000,blocked,12.926916,77.672716,1,marketplace
77,862,Rahatani,pune,5000,flat,9,7500,blocked,18.602806,73.797667,0,marketplace
78,871,Kharadi,pune,0,flat,3,8500,blocked,18.557601,73.951922,1,managed
79,759,NGEF Layout,bengaluru,2700,flat,4,0,blocked,12.996604,77.656282,2,marketplace
80,910,Bannerghatta Road,bengaluru,1300,flat,2,28000,occupied,12.86501,77.592802,0,marketplace
81,911,Sarjapur Road,bengaluru,0,flat,3,38000,partial,12.919336,77.669601,1,marketplace
82,803,Pimple Saudagar,pune,1200,flat,2,25000,blocked,18.593741,73.794757,0,marketplace
83,939,Hoodi,bengaluru,0,flat,1,6000,blocked,12.997934,77.71811,0,managed
85,942,Whitefield,bengaluru,1839,flat,3,52000,available,12.984999,77.752045,1,marketplace
86,943,kaggadaspura main road,bengaluru,0,flat,2,17000,blocked,12.976462,77.678891,0,marketplace
87,944,Koramangala,bengaluru,600,house,1,0,blocked,12.93097,77.631107,1,marketplace
88,948,C V Raman Nagar,bengaluru,1340,flat,3,38000,blocked,12.98141,77.667063,0,marketplace
89,956,Kadubeesanahalli,bengaluru,0,flat,5,82000,available,12.93711,77.699134,1,marketplace
90,774,Ulsoor,bengaluru,1340,flat,3,33863,occupied,12.976728,77.625949,2,managed
91,961,Whitefield,bengaluru,2245,flat,3,58000,blocked,12.962995,77.750582,0,marketplace
93,944,Koramangala,bengaluru,0,house,1,19000,available,12.930974,77.631118,0,marketplace
94,972,Mundhwa,pune,1400,flat,3,26000,blocked,18.527631,73.944924,0,marketplace
95,944,Ejipura,bengaluru,0,flat,1,10900,available,12.93334,77.63288,0,marketplace
96,1026,Haralur Road,bengaluru,1200,flat,3,35000,blocked,12.902963,77.662205,0,marketplace
97,1050,HBR Layout,bengaluru,1835,flat,5,33000,partial,13.04642,77.63867,1,marketplace
98,1051,Thanisandra,bengaluru,1720,flat,3,42000,available,13.0772208,77.6367349,0,marketplace
99,1052,Bellandur,bengaluru,1874,flat,4,48000,available,12.92725,77.67161,2,marketplace
100,1052,Bellandur,bengaluru,1474,flat,3,35000,blocked,12.92725,77.67161,2,marketplace
102,1053,Bellandur,bengaluru,2275,flat,3,53700,blocked,12.9227169,77.6698289,1,marketplace
103,1058,Sarjapur road,bengaluru,2134,flat,4,57000,partial,12.917848,77.67517,1,marketplace
104,1063,Banerghatta,bengaluru,1588,flat,3,31000,available,12.898803,77.604945,0,marketplace
105,1068,Whitefield,bengaluru,2023,flat,3,38850,occupied,12.985013,77.752131,1,managed
107,1100,Hoodi,bengaluru,1446,flat,3,36000,blocked,13.005161,77.73456,2,marketplace
108,1107,Outer Ring Road,bengaluru,1750,flat,3,47000,available,12.9205364,77.6937961,1,marketplace
109,1119,Banerghatta,bengaluru,0,flat,2,24000,blocked,12.858825,77.593726,0,marketplace
116,1123,Hadapsar,pune,0,flat,4,28000,blocked,18.494832,73.953429,1,marketplace
117,798,Bellandur,bengaluru,1810,flat,3,44000,partial,12.9223732,77.6697387,1,marketplace
119,1138,Haralur Road,bengaluru,0,flat,3,41000,available,12.903014,77.661968,2,marketplace
120,1147,Wakad,pune,1000,flat,2,15000,blocked,18.602964,73.767885,0,marketplace
123,1192,Aundh,pune,1389,flat,3,29000,partial,18.564511,73.800475,2,managed
124,1196,Koramangla 2nd block,bengaluru,2000,flat,3,52000,blocked,12.9254517,77.6202681,0,marketplace
125,943,kaggadaspura main road,bengaluru,0,flat,2,18600,occupied,12.976462,77.678891,0,managed
126,1225,Kadubeesanahalli,bengaluru,0,flat,4,65000,partial,12.937111,77.699139,0,marketplace
127,1026,Koramangala,bengaluru,1386,flat,3,48000,partial,12.927189,77.63846,0,marketplace
128,1226,Aundh,pune,0,flat,2,19000,blocked,18.557087,73.817082,1,marketplace
129,1271,Sarjapur road,bengaluru,1800,flat,3,42000,partial,12.90093,77.6738,1,marketplace
130,1288,Whitefield,bengaluru,2100,flat,3,49000,available,12.991473,77.7268256,0,marketplace
132,1293,Undri,pune,1000,flat,2,13000,blocked,18.450423,73.924711,0,marketplace
134,1294,Whitefield,bengaluru,1200,flat,3,37000,blocked,12.9800749,77.7546106,0,marketplace
135,1308,Undri,pune,1450,flat,3,27000,blocked,18.4521,73.91395,0,marketplace
136,1311,Banerghatta Road,bengaluru,1800,flat,3,45000,partial,12.887641,77.597371,1,marketplace
137,944,Koramangla 2nd block,bengaluru,250,flat,1,18000,blocked,12.930984,77.6289303,0,marketplace
140,1353,"Bilekahalli, Bangalore",bengaluru,1580,flat,3,41000,blocked,12.893459,77.61791,0,managed
141,1354,Kharadi,pune,1400,flat,3,43000,available,18.561675,73.948605,2,marketplace
142,1367,Amanora,pune,1700,flat,3,40000,blocked,18.513934,73.940142,1,marketplace
143,1349,Whitefield,bengaluru,0,flat,3,48000,partial,12.9846591,77.749127,0,marketplace
145,1382,Hadapsar,pune,1400,flat,3,38000,available,18.510843,73.941837,1,marketplace
147,1395,Whitefield,bengaluru,1600,flat,3,37000,available,12.983954,77.754194,1,marketplace
148,1396,Whitefield,bengaluru,1800,flat,3,37000,blocked,12.983954,77.754194,0,marketplace
149,1410,Viman Nagar,pune,3500,villa,5,79000,blocked,18.568477,73.914526,1,marketplace
150,1412,Magarpatta City,pune,1400,flat,3,47000,available,18.511596,73.922553,1,marketplace
151,1414,Horamavu,bengaluru,2500,flat,7,90000,blocked,13.0229682,77.6589196,1,marketplace
152,1417,Whitefield,bengaluru,1800,flat,3,40000,available,12.987328,77.725396,1,marketplace
153,1414,Horamavu,bengaluru,1500,flat,4,30000,blocked,13.0229682,77.6589196,0,marketplace
154,1438,Wakad,pune,1400,flat,3,34000,partial,18.601982,73.759675,1,marketplace
155,1414,sarjapur,bengaluru,282,flat,1,15500,blocked,12.9198409,77.6683616,1,marketplace
156,1414,sarjapur,bengaluru,278,flat,2,15000,blocked,12.9198409,77.6683616,1,marketplace
157,1412,Magarpatta City,pune,1500,flat,3,47000,partial,18.513531,73.922152,1,marketplace
158,1600,Viman Nagar,pune,1500,flat,3,38000,occupied,18.567363,73.917675,1,managed
159,1472,1st main Pai Layout,bengaluru,1200,flat,2,30000,available,12.9943483,77.6647594,2,marketplace
160,1475,WHitefield,bengaluru,1740,flat,3,47000,available,12.9849884,77.7498673,2,marketplace
161,1414,sarjapur,bengaluru,217,flat,2,13500,blocked,12.9198409,77.6683616,0,marketplace
162,1414,sarjapur,bengaluru,0,flat,2,13500,blocked,12.9198409,77.6683616,0,marketplace
163,1414,sarjapur,bengaluru,170,flat,2,12500,blocked,12.9198409,77.6683616,0,marketplace
164,1414,sarjapur,bengaluru,167,flat,2,12500,blocked,12.9198409,77.6683616,0,marketplace
165,1414,sarjapur,bengaluru,130,flat,2,12500,blocked,12.9198409,77.6683616,0,marketplace
166,1414,sarjapur,bengaluru,140,flat,2,12000,blocked,12.9198409,77.6683616,0,marketplace
167,1414,sarjapur,bengaluru,115,flat,2,13000,blocked,12.9198409,77.6683616,0,marketplace
168,1414,sarjapur,bengaluru,151,flat,2,13000,blocked,12.9198409,77.6683616,0,marketplace
169,1414,sarjapur,bengaluru,112,flat,1,11000,blocked,12.9198409,77.6683616,0,marketplace
170,1414,sarjapur,bengaluru,330,flat,2,14500,blocked,12.9198409,77.6683616,0,marketplace
171,1414,Sarjapur,bengaluru,272,flat,2,14000,blocked,12.9198409,77.6683616,1,marketplace
172,1487,Wakad,pune,1400,flat,4,42000,occupied,18.6019,73.7596,2,marketplace
173,7,Koramangala,bengaluru,100,flat,0,2500,available,0,0,1,marketplace
174,1494,Kadubeesanahalli,bengaluru,1200,flat,2,30000,blocked,12.9330799,77.6958949,0,marketplace
175,1510,Electronic City,bengaluru,1500,flat,3,21000,blocked,12.829268,77.662317,0,marketplace
176,1511,Banaglore,bengaluru,1600,flat,3,45000,blocked,12.9166373,77.6710103,1,marketplace
177,1513,Whitefield,bengaluru,0,flat,3,0,available,12.979745,77.751451,1,marketplace
178,1518,Sarjapur road,bengaluru,2035,flat,4,60000,available,12.9097252,77.6728556,0,marketplace
179,1525,Hadapsar,pune,1600,flat,3,38000,partial,18.511108,73.941624,1,marketplace
180,1542,Bellandur,bengaluru,0,flat,4,51360,partial,12.924014,77.682961,1,managed
181,1550,Magarpatta City,pune,1800,flat,4,59000,blocked,18.50785,73.926969,0,marketplace
182,772,Mahadevpura,bengaluru,4000,villa,4,75000,partial,12.9780742,77.6965578,1,marketplace
183,1576,Amanora,pune,0,flat,3,35000,partial,0,0,1,marketplace
184,1593,Whitefield,bengaluru,1000,flat,2,20000,blocked,12.983964,77.7520049,0,marketplace
185,1367,Magarpatta City,pune,0,flat,2,45000,blocked,0,0,1,marketplace
186,1595,Kadubeesanahalli,bengaluru,1700,flat,3,46000,occupied,12.9330903,77.6944743,0,marketplace
187,1603,Mahadevpura,bengaluru,1450,flat,3,36000,available,12.9755919,77.7041804,0,marketplace
188,1634,Hinjewadi,pune,800,flat,1,17000,occupied,18.34535,73.44114,0,marketplace
189,1635,Magarpatta,pune,1600,flat,3,47000,available,18.31096,73.55376,2,marketplace
191,1641,Kharadi,pune,676,flat,1,16000,blocked,18.33272,73.56534,0,marketplace
192,1367,Amanora,pune,1600,flat,3,41000,blocked,18.31018,73.565,2,marketplace
193,1643,Mahadevpura,bengaluru,1449,flat,3,34000,blocked,12.9914202,77.6731994,0,marketplace
194,1670,Kharadi,pune,888,flat,2,19000,partial,18.557587,73.94817,0,marketplace
